3079 -6010 64739 -83117 -57909 159437 -106376 40902 41406 172759 -59321 -38949 12454 -1945 7750 584704 336736 -331432 -664440 81022 -36228 94931 -23066 21405 -60 -53245 -26377 -86655 1752 25125 -98629 -1840 -8436 -2831 55101 1512 -19635 73202 -74589 44403 -99025 4585 -19352 13263 18019 20026 30187 53347 29284 -72351 -21647 -54504 9724 -33844 -77012 17161 14031 -15484 -43903 -27425 
31745 51127 -10728 22184 60953 -214752 65331 -1438 55225 -77048 95641 -38863 56433 -96485 -428 -71803 493334 812749 -73412 -650970 87503 -29563 10949 23504 -29281 -81336 -128257 147372 -178982 -81507 -20779 -3071 -11880 61758 -32978 4950 -21805 -56000 9546 -37354 30809 -9436 -73455 10574 -40014 78631 101559 -20408 12593 -19030 38781 775 84282 111741 -49006 -26398 -58430 -48446 40416 -114376 
26561 37107 55290 -24516 -86653 104594 -28907 -21705 25579 19273 -28497 45999 -95352 77005 29067 58332 20476 40521 812527 -98066 -801129 34649 -39467 -101899 79569 51068 147442 -84691 156171 19523 6588 -38001 27459 -28996 1038 -71012 11648 51447 31599 30713 -17086 54523 87664 -39190 84560 -87693 11723 -38528 11771 32253 14647 60311 31313 -63625 -3268 28438 38588 59294 -91369 67030 
-62135 -39354 -72866 25966 58487 -29258 11108 -64048 10604 47610 -55491 407 46924 18313 35352 -23601 -49902 17606 -34116 749354 30203 -906585 -308599 -7065 -81302 11626 -68468 81914 -173955 68122 30257 136359 10921 -4578 -52457 45237 52761 -44959 10398 -92062 13032 -6227 -39547 -21818 -109823 -28834 6258 -47154 24648 -48071 4758 -29702 -39482 -27186 29646 -4959 24364 35499 85798 84442 
9402 -57625 23004 -22579 54566 100857 -76077 109170 -3916 -37542 88385 48479 19504 30839 -40574 12277 53178 -182686 35595 -5273 730182 306857 -444143 -587762 4861 -20313 57093 21684 101137 -59627 -44768 -80153 -63327 -21716 35674 14409 -47856 34761 -15020 46751 85101 -35760 -47679 34344 112286 99120 -131900 106984 -133746 33939 -360 -992 44047 -40005 10244 37963 -36401 -41374 -38603 -112148 
-80128 -38702 69680 27544 -8536 -92840 189030 -36084 -66736 34559 -112687 -41657 3211 -20369 14285 7750 -79858 116348 -83219 6508 23386 538810 712545 -36413 -712841 80178 86719 -8357 125163 -93881 125111 -21866 72782 -8567 41191 39870 -6139 -41836 37352 44879 -92255 -60232 94883 -8926 6530 -4353 133151 -45860 123767 -5669 63293 -17243 -66953 110693 -1107 -32391 18422 -84599 26525 9725 
65655 94651 -22392 -81363 -64790 133922 -90444 -4515 -16585 -105124 110164 -3893 3620 21442 -102431 -62662 -31587 14368 69297 3661 -43552 -57645 -22791 675576 26729 -856036 -82802 23909 -55673 122905 -140195 60903 29335 -3644 -37165 -43059 45088 -44210 17413 -5021 71012 85550 -59496 27299 -2458 -61116 -20601 -59432 -24483 -28068 -88341 -1654 85614 -82782 -10221 49784 69748 106134 -116504 9761 
-14757 -34347 -25337 100709 -28388 -44836 21940 1911 53611 65982 -49477 78424 59430 -72759 43808 -73948 3735 -16819 41861 -13358 -22015 30585 66251 -27677 686623 -18714 -834224 -522363 92777 -2972 113148 20308 -80534 104045 -52243 -30689 -96691 99017 -124188 17343 -41602 9677 32947 16009 -116937 18509 -22592 31589 -14386 -46974 34255 -4673 -46165 44127 52995 -66132 -139573 -116978 142437 -25527 
-388 18398 -55245 -35168 118207 -37364 14877 -2455 8337 -11207 83658 -69058 -96688 -14952 41428 5377 72127 -85580 -39540 27122 63160 -20693 17512 -14635 -12334 819235 373329 -336064 -885662 -59470 -44564 -44850 76460 -99420 -2362 62758 28343 -127029 150844 -25964 24275 -567 12404 -67720 51676 23749 33287 15101 4613 29691 -39576 -58553 12591 47723 -74267 -55903 8019 119409 -151149 36673 
7134 85 -31336 55921 -13298 -45929 -45058 4478 4443 25174 -71449 -31829 -58163 86274 -78602 131824 -81213 128452 -92180 -28695 -10 90789 -21801 -5415 35907 3098 497923 882795 39834 -754733 9299 13226 -51465 51292 65021 -206396 12552 106133 -20530 13797 -30993 -5191 -124902 -17023 55833 46077 -73874 19100 12672 10050 25175 54152 -53753 -62688 26938 103417 158260 -96554 130788 68155 
-4648 38812 152982 -53804 -90727 71621 -816 11452 -13864 -91964 62145 -96049 133554 -48907 77042 -138068 92675 -138321 58891 -12268 -9835 -35429 16545 67687 -90066 -92426 23032 -9213 811077 134475 -686632 21928 -49131 -14975 -74550 68085 -130311 -30889 6380 -75770 26478 -110789 92205 25436 -21792 -52590 97932 -37790 16407 81214 -22443 59526 73223 2002 29993 -13162 -59801 94315 -45918 -147491 
-4488 -22491 6642 -43916 96838 -59473 98939 -29826 8697 90598 -102326 165814 -87127 -78888 -31946 73608 -142320 77412 -46689 6558 12372 -88969 -57204 -89419 48194 4287 -70138 15755 -42656 711127 -14184 -724772 -417450 -46002 52147 11936 22282 -5086 -90157 -56000 25981 12188 -40404 38096 -11862 -2790 -82778 39517 38370 -49949 -57971 -113397 -49840 26966 -32694 10735 -164354 -20755 27657 109208 
-58502 23886 -86958 23485 -181052 48852 -71270 50369 -60350 14434 10398 -39132 -34745 87469 -114601 -62391 178870 -44651 71971 10337 -52712 67793 -89674 119591 58204 96848 -12175 -42023 26787 24193 747576 229514 -301640 -627489 4517 -25900 132278 1085 -44280 145774 -132001 133568 -60273 -4447 -125140 28694 9435 8941 -74337 9425 9198 72969 -659 -41526 2093 -7626 145652 -34788 51047 -3780 
137883 24076 46017 -75268 173299 20731 14853 -90591 84229 12649 51578 -42066 74305 -76375 196925 -52111 -135644 85839 -90829 58378 45835 -20453 52093 -214231 -76485 -41457 55132 -33470 -50151 -118507 -63756 511012 812654 -138006 -729443 148778 9319 44503 118215 -216204 137022 -167001 38746 20746 115883 -71535 17601 7939 -31429 28411 41932 -37080 47699 -31279 4120 -78297 -95739 95429 34137 34098 
-58476 13539 -111773 107822 -16751 -8579 -4422 10729 -83371 -25156 -85947 -2018 -15921 81252 -99743 162457 -35578 -115674 35552 -122721 22020 32105 38252 189332 7503 68396 -16091 -12562 58188 -15256 -68197 -52599 -15968 843595 -51192 -904070 -70 -25028 -98263 212033 -139949 36515 -8807 -30223 -55163 32951 -23605 -41258 100305 -64456 -48703 -18679 -16104 52086 27496 56112 136044 -84324 -81472 -41228 
-2600 -77429 71461 26494 -107174 -20323 -59845 22514 32310 -23181 69401 62882 -1783 15766 26444 -6950 84331 82437 14921 62798 -40987 13300 -8874 -143273 30524 19738 -38680 35362 4512 122972 72660 22967 2301 -39546 820868 133466 -799764 -521071 99349 -207570 145762 34723 -3748 22193 47629 22231 20418 84430 9221 57139 3755 -23515 22788 -2795 5429 46694 -112198 43335 61298 29997 
